City Name,Latitude,Longitude,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cucutilla,7.54,-72.77,80.6,89.6,43,40,27.51,CO,1596659120
Mount Isa,-20.73,139.5,57.2,57.2,62,0,5.82,AU,1596659120
Blackfoot,43.19,-112.34,91.0,91.4,14,1,6.93,US,1596659120
Pauini,-7.71,-66.98,97.16,97.16,25,0,2.62,BR,1596659120
Kahului,20.89,-156.47,73.99,87.8,48,40,27.51,US,1596658915
Boende,-0.22,20.87,73.42,73.42,90,100,0.83,CD,1596659122
Abu Samrah,35.3,37.18,73.22,73.22,74,0,16.04,SY,1596659122
Najrān,17.49,44.13,87.8,87.8,31,40,16.11,SA,1596659071
Oyem,1.6,11.58,67.03,67.03,95,31,2.48,GA,1596659122
Borovoy,55.43,86.08,60.8,60.8,87,40,6.71,RU,1596659123
Adrar,20.5,-10.07,101.05,101.05,22,16,12.1,MR,1596659123
Jumla,29.27,82.18,64.53,64.53,65,95,0.94,NP,1596659123
Balabac,7.99,117.06,79.88,79.88,83,100,8.68,PH,1596659124
Zhezkazgan,47.8,67.71,79.9,79.9,31,18,11.5,KZ,1596659124
Zhigansk,66.77,123.37,61.0,61.0,58,64,4.94,RU,1596659124
Wittingen,52.73,10.74,64.0,68.0,49,20,3.36,DE,1596659124
Klaksvík,62.23,-6.59,51.8,51.8,100,73,14.99,FO,1596659125
Spornoye,50.84,37.29,66.2,66.2,59,0,6.71,RU,1596659125
Mattru,7.62,-11.83,71.83,71.83,80,2,4.25,SL,1596659125
Conselheiro Pena,-19.17,-41.47,73.62,73.62,50,1,8.43,BR,1596659125
Dunedin,-45.87,170.5,44.01,44.01,92,100,1.99,NZ,1596659049
Ketchikan,55.34,-131.65,60.8,60.8,77,75,8.05,US,1596659126
Antonovo,43.15,26.17,71.6,71.6,53,0,5.82,BG,1596659126
Tamandaré,-8.76,-35.1,75.45,75.45,76,90,13.38,BR,1596659127
Benemérito de las Américas,16.52,-90.64,94.6,94.6,43,100,4.23,MX,1596659127
Palana,59.12,159.97,50.0,50.0,81,6,7.83,RU,1596659128
Kualakapuas,-3.01,114.39,71.6,71.6,100,90,4.7,ID,1596659128
Monaghan,54.25,-6.97,62.6,64.0,82,40,5.82,IE,1596659128
Mahabalipuram,12.63,80.17,84.2,84.2,62,40,6.93,IN,1596659129
Byron Bay,-28.65,153.62,44.6,51.01,93,0,6.04,AU,1596658861
Gayny,60.31,54.32,55.29,55.29,76,3,2.42,RU,1596659129
Pochutla,15.74,-96.47,89.01,89.6,62,90,7.34,MX,1596659130
Mossamedes,-15.2,12.15,62.62,62.62,86,39,11.65,AO,1596659130
Aksu,41.12,80.26,81.19,81.19,27,84,9.46,CN,1596659130
Deputatsky,69.3,139.9,54.77,54.77,54,3,6.69,RU,1596659131
Kalmunai,7.42,81.82,79.81,79.81,72,83,10.78,LK,1596659131
Kiryat Gat,31.61,34.76,69.01,80.01,55,0,0.54,IL,1596659131
Strezhevoy,60.73,77.59,62.6,62.6,100,98,4.47,RU,1596659131
Cherskiy,68.75,161.3,42.93,42.93,92,100,6.78,RU,1596659132
Cologne,50.93,6.95,73.4,80.01,40,0,8.05,DE,1596658876
Senno,59.53,33.92,58.15,58.15,95,52,2.86,RU,1596659132
Santa Cruz de La Palma,28.68,-17.76,68.0,73.4,78,75,13.87,ES,1596658882
Meadow Lake,34.8,-106.54,84.99,93.0,17,75,9.17,US,1596659133
Saldanha,-33.01,17.94,42.8,42.8,75,0,4.7,ZA,1596659019
Rawson,-43.3,-65.1,59.13,59.13,34,86,30.8,AR,1596658904
Raduzhny,62.1,77.47,61.12,61.12,80,2,10.22,RU,1596659133
Krasnyy Klyuch,55.39,56.65,67.77,67.77,89,0,7.85,RU,1596659134
Wonthaggi,-38.6,145.59,41.0,46.99,72,86,10.76,AU,1596659134
Mackenzie,55.3,-123.17,71.6,71.6,53,1,11.41,CA,1596659134
Beyneu,45.32,55.2,75.76,75.76,41,62,6.89,KZ,1596659135
Hattiesburg,31.33,-89.29,88.0,91.4,41,1,8.05,US,1596659135
Senanga,-16.12,23.27,64.04,64.04,28,0,4.63,ZM,1596659136
Madimba,-10.4,40.33,69.8,69.8,88,20,5.82,TZ,1596659136
Middle Island,40.88,-72.94,82.0,87.01,51,20,12.75,US,1596659136
Kitsuki,33.42,131.62,69.01,73.99,88,0,2.48,JP,1596659137
Caconda,-13.73,15.07,56.32,56.32,44,0,4.9,AO,1596659137
Aklavik,68.22,-135.01,51.8,51.8,87,90,4.7,CA,1596659043
Tadine,-21.55,167.88,66.92,66.92,69,3,2.15,NC,1596659137
Hofn,64.25,-15.21,51.8,51.8,93,90,11.41,IS,1596659138
Lakes Entrance,-37.88,147.98,43.0,43.0,81,37,13.69,AU,1596659138
Lucknow,26.85,80.92,87.8,87.8,84,75,9.17,IN,1596659138
Akdağmadeni,39.66,35.88,55.45,55.45,76,0,3.94,TR,1596659138
Frontignan,43.45,3.75,69.01,71.6,60,0,2.24,FR,1596659139
Guasdualito,7.24,-70.73,86.0,86.0,62,20,3.36,VE,1596659139
Opunake,-39.46,173.86,43.0,46.0,85,100,8.01,NZ,1596659139
Kununurra,-15.77,128.73,75.2,75.2,83,100,6.93,AU,1596659097
Swan Hill,-35.34,143.55,33.64,33.64,93,49,2.66,AU,1596659140
Pierre,44.37,-100.35,82.4,82.99,48,1,9.17,US,1596659140
Trincomalee,8.57,81.23,82.85,82.85,71,100,21.41,LK,1596659091
Maxixe,-23.86,35.35,64.0,64.4,88,0,4.7,MZ,1596659141
Thaton,16.92,97.37,77.85,77.85,92,100,5.03,MM,1596659141
Taltal,-25.4,-70.48,64.0,64.0,60,22,5.91,CL,1596659141
Penzance,50.12,-5.54,62.6,64.0,100,100,10.29,GB,1596659142
Kjøpsvik,68.1,16.37,54.0,57.0,87,0,6.93,NO,1596659142
Sukhothai,17.25,99.67,76.77,76.77,94,100,4.99,TH,1596659142
Bom Jesus da Lapa,-13.26,-43.42,82.4,82.4,39,66,17.22,BR,1596659142
Bahía Blanca,-38.72,-62.27,61.99,61.99,60,0,11.61,AR,1596659143
Calamar,10.25,-74.91,91.4,91.4,66,40,10.29,CO,1596659143
Waddān,29.16,16.14,93.43,93.43,13,15,11.45,LY,1596659143
Baghdad,33.34,44.4,87.8,87.8,29,0,3.36,IQ,1596659132
Tāndā,26.55,82.65,84.2,84.2,81,99,12.48,IN,1596659144
Staryy Nadym,65.61,72.68,58.5,58.5,61,18,5.95,RU,1596659144
Roald,62.58,6.13,60.01,61.0,93,75,4.7,NO,1596659072
Buraidah,26.33,43.98,93.2,93.2,24,0,10.29,SA,1596659145
Łęczyca,52.06,19.2,57.0,64.0,90,69,4.59,PL,1596659145
Falam,22.92,93.68,62.8,62.8,100,78,0.76,MM,1596659145
Luganville,-15.53,167.17,69.8,69.8,94,20,7.36,VU,1596659146
Kupang,-10.17,123.58,73.08,73.08,78,46,5.93,ID,1596659146
Mabopane,-25.5,28.1,55.99,60.8,38,0,8.05,ZA,1596659146
Tibú,8.64,-72.74,96.04,96.04,40,4,5.41,CO,1596659146
Santa Isabel Rio Negro,-0.41,-65.02,83.59,83.59,78,26,3.38,BR,1596659147
Nouadhibou,20.93,-17.03,71.6,71.6,83,20,17.22,MR,1596659147
Yar-Sale,66.83,70.83,58.12,58.12,59,2,8.72,RU,1596659147
Margate,51.38,1.39,68.0,70.0,60,38,4.0,GB,1596659148
Auki,-8.77,160.7,77.9,77.9,87,100,4.12,SB,1596659148
Lubango,-14.92,13.49,55.49,55.49,60,0,1.7,AO,1596659149
Weligama,5.97,80.42,77.88,77.88,89,96,8.37,LK,1596659150
Bilibino,68.05,166.44,43.09,43.09,82,100,3.71,RU,1596659150
Bathsheba,13.22,-59.52,87.8,87.8,62,40,16.11,BB,1596659150
Pechenga,69.53,31.17,50.0,50.0,93,90,10.29,RU,1596659151
Greensburg,40.3,-79.54,77.0,81.0,54,20,11.41,US,1596658951
North Bend,43.41,-124.22,64.99,68.0,72,75,10.29,US,1596658851
Bereda,43.27,-7.54,64.99,70.0,89,0,5.99,ES,1596659151
Kruisfontein,-34.0,24.73,51.01,51.01,94,61,4.74,ZA,1596659152
Salé,34.04,-6.82,73.0,73.4,88,20,9.17,MA,1596659152
Pacific Grove,36.62,-121.92,64.0,69.8,60,90,8.05,US,1596658907
Saint-Joseph,-21.37,55.62,53.01,62.6,67,47,6.93,RE,1596659152
Kattivākkam,13.22,80.32,84.2,84.2,62,40,6.93,IN,1596659153
Matara,5.95,80.54,77.49,77.49,90,96,8.05,LK,1596659001
Amga,60.9,131.96,55.2,55.2,71,69,0.98,RU,1596659153
Sioux Lookout,50.1,-91.92,78.8,78.8,39,40,10.29,CA,1596659153
Khorinsk,52.17,109.77,58.12,58.12,89,57,6.69,RU,1596659154
Egvekinot,66.32,-179.17,39.52,39.52,82,96,5.75,RU,1596659154
San Juan,-31.54,-68.54,72.01,72.01,31,0,7.52,AR,1596658896
Quatre Cocos,-20.21,57.76,66.0,68.0,68,75,12.75,MU,1596659155
Kyra,49.58,111.98,57.36,57.36,87,96,1.07,RU,1596659155
Olafsvik,64.89,-23.71,50.2,50.2,90,100,14.09,IS,1596659155
Pontianak,-0.03,109.33,73.69,73.69,93,97,3.42,ID,1596659156
Ust-Tsilma,65.44,52.15,63.28,63.28,88,100,7.67,RU,1596659156
Piranshahr,36.7,45.14,67.37,67.37,51,4,7.65,IR,1596659022
San Vicente,-26.62,-54.13,74.03,74.03,49,0,2.68,AR,1596659157
Moengo,5.62,-54.4,84.31,84.31,73,57,5.21,SR,1596659157
Bud,39.45,-86.18,72.0,89.6,27,40,6.06,US,1596659093
Kaiyuan,23.7,103.3,67.91,67.91,87,50,2.1,CN,1596659157
Tanout,14.97,8.89,89.74,89.74,45,70,16.82,NE,1596659158
Bagdarin,54.43,113.6,55.62,55.62,92,100,0.94,RU,1596659158
Dalbandin,28.89,64.41,81.59,81.59,15,4,1.86,PK,1596659158
Guerrero Negro,27.98,-114.06,79.16,79.16,53,8,12.06,MX,1596659159
Anchorage,61.22,-149.9,62.01,66.2,52,1,5.82,US,1596659066
Tres Picos,15.87,-93.53,88.14,88.14,64,90,3.67,MX,1596659159
Kindu,-2.95,25.95,75.88,75.88,58,19,0.34,CD,1596659159
Vaitape,-16.52,-151.75,79.32,79.32,79,39,15.48,PF,1596659160
Blagoyevo,63.37,47.92,65.66,65.66,74,100,10.0,RU,1596659160
Scarborough,54.28,-0.4,66.99,68.0,75,50,5.01,GB,1596659025
Azuaga,38.27,-5.68,87.01,87.01,30,4,5.01,ES,1596659162
Gravdal,68.12,13.5,57.2,57.2,71,0,2.24,NO,1596659163
Isla Vista,34.41,-119.86,66.2,75.99,68,20,8.05,US,1596659163
Mount Gambier,-37.83,140.77,41.0,41.0,93,90,0.92,AU,1596659031
Wellington,-41.29,174.78,48.99,53.01,93,100,13.87,NZ,1596659101
Ténenkou,14.46,-4.92,76.62,76.62,83,91,5.91,ML,1596659164
Tarata,-17.62,-66.02,84.2,84.2,11,0,4.7,BO,1596659164
Nizwá,22.93,57.53,93.88,93.88,31,1,3.27,OM,1596659164
Sørland,67.67,12.69,57.2,57.2,71,0,2.24,NO,1596659165
Poum,-20.23,164.02,69.53,69.53,72,0,7.29,NC,1596659047
Saint-Augustin,51.23,-58.65,65.44,65.44,53,70,11.72,CA,1596659165
Iqaluit,63.75,-68.51,64.0,64.4,63,75,24.16,CA,1596659166
Predivinsk,57.07,93.44,54.09,54.09,91,96,1.25,RU,1596659166
Alta Floresta,-9.88,-56.09,95.0,95.0,24,20,9.17,BR,1596659166
Sola,-13.88,167.55,76.06,76.06,81,0,19.48,VU,1596659166
Manavālakurichi,8.13,77.3,82.4,82.4,83,40,8.05,IN,1596659167
Kinshasa,-4.32,15.32,73.4,75.2,78,40,3.36,CD,1596659026
Gazli,40.13,63.45,74.59,74.59,26,11,14.05,UZ,1596659167
Kavos,38.83,22.83,79.0,79.0,63,0,1.21,GR,1596659167
Cartagena,10.4,-75.51,91.4,91.4,66,40,10.29,CO,1596658871
Cururupu,-1.83,-44.87,83.48,83.48,63,24,3.67,BR,1596659168
Nemuro,43.32,145.57,64.94,64.94,97,78,2.21,JP,1596659168
Atyrau,47.12,51.88,64.4,64.4,82,17,8.95,KZ,1596659169
Huilong,31.81,121.66,84.0,84.0,87,100,9.06,CN,1596659169
La Ronge,55.1,-105.28,80.6,80.6,42,20,8.05,CA,1596659169
Arkhonskaya,43.11,44.51,60.01,62.6,77,5,5.23,RU,1596659170
Morehead,37.27,-87.18,78.01,79.0,50,90,4.7,US,1596659170
Naze,28.37,129.48,78.8,78.8,94,20,2.24,JP,1596659082
Vélez-Málaga,36.77,-4.1,78.01,80.01,67,0,1.14,ES,1596659171
Aktau,43.65,51.2,64.4,64.4,93,75,4.47,KZ,1596659171
Amahai,-3.33,128.92,79.0,79.0,95,69,2.66,ID,1596659171
Dudinka,69.41,86.18,55.4,55.4,87,0,2.24,RU,1596659171
Karīmganj,24.87,92.35,79.29,79.29,92,85,4.21,IN,1596659172
Ghātanji,20.13,78.32,77.86,77.86,86,100,12.01,IN,1596659172
Antofagasta,-23.65,-70.4,59.0,59.0,67,40,14.99,CL,1596658882
Saguday,16.54,121.56,74.59,74.59,86,88,1.97,PH,1596659172
Poplar Bluff,36.76,-90.39,77.0,78.8,50,40,5.82,US,1596659173
Abomsa,9.98,39.98,70.99,70.99,68,100,4.36,ET,1596659173
Camacha,33.08,-16.33,71.6,71.6,83,75,12.75,PT,1596659173
Kurtalan,37.93,41.7,71.6,71.6,56,0,4.7,TR,1596659174
Grand-Santi,4.25,-54.38,92.39,92.39,44,17,3.67,GF,1596659174
Lady Lake,28.92,-81.92,82.4,91.0,74,1,20.8,US,1596659174
Champerico,14.3,-91.92,87.8,87.8,66,40,6.93,GT,1596659175
Lüderitz,-26.65,15.16,55.4,55.4,54,4,19.46,NA,1596659175
Mabaruma,8.2,-59.78,85.42,85.42,69,60,5.77,GY,1596659175
Xining,36.62,101.77,62.83,62.83,75,88,2.3,CN,1596659176
Coquimbo,-29.95,-71.34,62.6,62.6,72,99,13.87,CL,1596659176
Green River,41.53,-109.47,86.0,86.0,9,1,3.36,US,1596659176
Bagan,54.1,77.66,64.42,64.42,72,0,5.91,RU,1596659176
Pitsunda,43.16,40.34,66.0,71.6,83,40,8.95,GE,1596659177
Grindavik,63.84,-22.43,48.2,48.2,93,75,16.11,IS,1596659177
Pudozh,61.81,36.53,58.73,58.73,97,31,5.01,RU,1596659177
Madoc,44.51,-77.47,71.01,75.0,70,2,5.99,CA,1596659177
Neryungri,56.67,124.65,50.13,50.13,71,90,1.05,RU,1596659045
Eyl,7.98,49.82,80.13,80.13,66,7,23.71,SO,1596659111
Tual,-5.67,132.75,77.77,77.77,87,94,11.68,ID,1596659178
Asău,46.43,26.4,62.01,62.01,83,0,2.01,RO,1596659178
Saint-Louis,16.33,-15.0,95.0,95.0,47,75,9.69,SN,1596659179
